seed,selector,admit,delta_test_raw,delta_tail,delta_r,test_mse_raw,test_tail_mse,pearson_r
0,Baseline,1,0.0,0.0,0.0,0.4007611870765686,3.4386916160583496,0.6234621800953871
0,Proxy-only,1,0.0003642439842224121,0.0731198787689209,-0.0057817999371493345,0.401125431060791,3.5118114948272705,0.6176803801582378
0,Val-loss-only,1,-0.004357755184173584,0.03360557556152344,-0.0003771371725576067,0.396403431892395,3.472297191619873,0.6230850429228295
0,1.25x guardrail,1,0.0003642439842224121,0.0731198787689209,-0.0057817999371493345,0.401125431060791,3.5118114948272705,0.6176803801582378
1,Baseline,1,0.0,0.0,0.0,0.4013983309268951,3.454227924346924,0.6265151322837774
1,Proxy-only,1,-0.0026972293853759766,0.06291794776916504,-0.006882790894018775,0.3987011015415191,3.517145872116089,0.6196323413897586
1,Val-loss-only,1,-0.0008082091808319092,0.025247573852539062,-0.006915453078544687,0.4005901217460632,3.479475498199463,0.6195996792052327
1,1.25x guardrail,1,-0.0026972293853759766,0.06291794776916504,-0.006882790894018775,0.3987011015415191,3.517145872116089,0.6196323413897586
2,Baseline,1,0.0,0.0,0.0,0.4033945202827453,3.521195888519287,0.6191866098204915
2,Proxy-only,1,-0.006096094846725408,-0.0315401554107666,0.002530980836156993,0.3972984254360199,3.4896557331085205,0.6217175906566484
2,Val-loss-only,1,-0.006986111402511597,-0.06609702110290527,0.005125380630482956,0.3964084088802337,3.455098867416382,0.6243119904509744
2,1.25x guardrail,1,-0.006096094846725408,-0.0315401554107666,0.002530980836156993,0.3972984254360199,3.4896557331085205,0.6217175906566484
3,Baseline,1,0.0,0.0,0.0,0.4000697135925293,3.4534952640533447,0.6246368709239694
3,Proxy-only,1,0.0027160048484802246,0.07833099365234375,-0.008582494169878774,0.4027857184410095,3.5318262577056885,0.6160543767540906
3,Val-loss-only,1,-0.0007457435131072998,0.0376591682434082,-0.004153921692455431,0.399323970079422,3.491154432296753,0.6204829492315139
3,1.25x guardrail,1,0.0027160048484802246,0.07833099365234375,-0.008582494169878774,0.4027857184410095,3.5318262577056885,0.6160543767540906
4,Baseline,1,0.0,0.0,0.0,0.4025306403636932,3.4675796031951904,0.6253085647208062
4,Proxy-only,1,-0.005067408084869385,0.0183258056640625,-0.0036500691874205016,0.3974632322788238,3.485905408859253,0.6216584955333857
4,Val-loss-only,1,-0.0036596953868865967,0.024523258209228516,-0.004524234431880769,0.3988709449768066,3.492102861404419,0.6207843302889254
4,1.25x guardrail,1,-0.005067408084869385,0.0183258056640625,-0.0036500691874205016,0.3974632322788238,3.485905408859253,0.6216584955333857
5,Baseline,1,0.0,0.0,0.0,0.4038540720939636,3.428243398666382,0.6262750299915233
5,Proxy-only,1,-0.0049896240234375,0.07037520408630327,-0.005967518839580133,0.3988644480705261,3.498618602752685,0.6203075111519432
5,Val-loss-only,1,-0.006231516599655207,0.06643652915954634,-0.004978180465352144,0.3976225554943084,3.494679927825928,0.6212968495261711
5,1.25x guardrail,1,-0.0049896240234375,0.07037520408630327,-0.005967518839580133,0.3988644480705261,3.498618602752685,0.6203075111519432
6,Baseline,1,0.0,0.0,0.0,0.4070012867450714,3.4646544456481934,0.621854770928218
6,Proxy-only,1,-0.007945507764816284,0.06364250183105469,-0.0013070164664721329,0.3990557789802551,3.528296947479248,0.6205477544617458
6,Val-loss-only,1,-0.009962767362594604,0.027311563491820845,0.00011299089272798213,0.3970385193824768,3.491966009140014,0.6219677618209459
6,1.25x guardrail,1,-0.007945507764816284,0.06364250183105469,-0.0013070164664721329,0.3990557789802551,3.528296947479248,0.6205477544617458
7,Baseline,1,0.0,0.0,0.0,0.397981733083725,3.440721035003662,0.6254420854613985
7,Proxy-only,1,0.0014910697937011164,0.08631014823913574,-0.006771333843621052,0.3994728028774261,3.527031183242798,0.6186707516177774
7,Val-loss-only,1,-0.0009458959102630615,0.0488584041595459,-0.003641855854203069,0.3970358371734619,3.489579439163208,0.6218002296071954
7,1.25x guardrail,1,0.0014910697937011164,0.08631014823913574,-0.006771333843621052,0.3994728028774261,3.527031183242798,0.6186707516177774
8,Baseline,1,0.0,0.0,0.0,0.4043315947055816,3.4626407623291016,0.6250239147777287
8,Proxy-only,1,-0.0058629512786865234,0.05646324157714844,-0.004534466286773564,0.3984686434268951,3.51910400390625,0.6204894484909551
8,Val-loss-only,1,-0.0064228475093841,0.021555423736572266,-0.003763698926838588,0.3979087471961975,3.484196186065674,0.6212602158508901
8,1.25x guardrail,1,-0.0058629512786865234,0.05646324157714844,-0.004534466286773564,0.3984686434268951,3.51910400390625,0.6204894484909551
9,Baseline,1,0.0,0.0,0.0,0.4012482762336731,3.4616050720214844,0.6233426732447744
9,Proxy-only,1,-0.0024770796298980713,0.027323484420776367,-0.002598597891091514,0.398771196603775,3.4889285564422607,0.6207440753536829
9,Val-loss-only,1,-0.0024770796298980713,0.027323484420776367,-0.002598597891091514,0.398771196603775,3.4889285564422607,0.6207440753536829
9,1.25x guardrail,1,-0.0024770796298980713,0.027323484420776367,-0.002598597891091514,0.398771196603775,3.4889285564422607,0.6207440753536829
