"epoch","regime","seed","test_acc","test_hosp_2_acc","test_hosp_2_loss","test_loss","test_worst_domain_acc","test_worst_domain_loss","val_acc","val_hosp_1_acc","val_hosp_1_loss","val_loss","val_worst_domain_acc","val_worst_domain_loss"
"1","rcgdro_finetune","0","0.7078796999553225","0.7078796999553225","0.6256385337825062","0.6256385337825062","0.7078796999553225","0.6256385337825062","0.9158549163419666","0.9158549163419666","0.23487639113797026","0.23487639113797026","0.9158549163419666","0.23487639113797026"
"1","rcgdro_finetune","1","0.6173372210595621","0.6173372210595621","0.9874013427407913","0.9874013427407913","0.6173372210595621","0.9874013427407913","0.9260256704102682","0.9260256704102682","0.22734667237932987","0.22734667237932987","0.9260256704102682","0.22734667237932987"
"2","rcgdro_finetune","2","0.743680485338726","0.743680485338726","0.801030938149635","0.801030938149635","0.743680485338726","0.801030938149635","0.9200091680036672","0.9200091680036672","0.2826165047482365","0.2826165047482365","0.9200091680036672","0.2826165047482365"
"2","rcgdro_finetune","3","0.7069156065558351","0.7069156065558351","0.8394595659370132","0.8394595659370132","0.7069156065558351","0.8394595659370132","0.9360245244098098","0.9360245244098098","0.2352314741459524","0.2352314741459524","0.9360245244098098","0.2352314741459524"
"1","rcgdro_finetune","4","0.5866273191149153","0.5866273191149153","1.2653606501921957","1.2653606501921957","0.5866273191149153","1.2653606501921957","0.9236763694705478","0.9236763694705478","0.23689198061313438","0.23689198061313438","0.9236763694705478","0.23689198061313438"
"1","rcgdro_finetune","5","0.7156865050438544","0.7156865050438544","0.7655174873623531","0.7655174873623531","0.7156865050438544","0.7655174873623531","0.9272862709145083","0.9272862709145083","0.22764279276388177","0.22764279276388177","0.9272862709145083","0.22764279276388177"
"2","rcgdro_finetune","6","0.676288005267242","0.676288005267242","1.1114367781649321","1.1114367781649321","0.676288005267242","1.1114367781649321","0.925481320192528","0.925481320192528","0.23969222283641958","0.23969222283641958","0.925481320192528","0.23969222283641958"
"1","rcgdro_finetune","7","0.7247278199731935","0.7247278199731935","0.6740545856542355","0.6740545856542355","0.7247278199731935","0.6740545856542355","0.918834517533807","0.918834517533807","0.2316498002841235","0.2316498002841235","0.918834517533807","0.2316498002841235"
"4","rcgdro_finetune","8","0.7185317562960002","0.7185317562960002","1.1987387784270553","1.1987387784270553","0.7185317562960002","1.1987387784270553","0.9286614714645886","0.9286614714645886","0.2659439962156677","0.2659439962156677","0.9286614714645886","0.2659439962156677"
"1","rcgdro_finetune","9","0.6340560114750629","0.6340560114750629","0.7496127083269395","0.7496127083269395","0.6340560114750629","0.7496127083269395","0.9294923217969288","0.9294923217969288","0.20631659856849072","0.20631659856849072","0.9294923217969288","0.20631659856849072"
"6","rcgdro_softclip_p95_a10_cam_finetune","0","0.6519975544947916","0.6519975544947916","1.9883134220165286","1.9883134220165286","0.6519975544947916","1.9883134220165286","0.9343055237222095","0.9343055237222095","0.39437293536869794","0.39437293536869794","0.9343055237222095","0.39437293536869794"
"1","rcgdro_softclip_p95_a10_cam_finetune","1","0.7530510028922802","0.7530510028922802","0.8333768115760001","0.8333768115760001","0.7530510028922802","0.8333768115760001","0.9242780197112079","0.9242780197112079","0.2688921305496613","0.2688921305496613","0.9242780197112079","0.2688921305496613"
"4","rcgdro_softclip_p95_a10_cam_finetune","2","0.746866696451666","0.746866696451666","1.468746186826824","1.468746186826824","0.746866696451666","1.468746186826824","0.9389754755901902","0.9389754755901902","0.3864997451566893","0.3864997451566893","0.9389754755901902","0.3864997451566893"
"1","rcgdro_softclip_p95_a10_cam_finetune","3","0.7274319843863898","0.7274319843863898","1.1978522427089664","1.1978522427089664","0.7274319843863898","1.1978522427089664","0.9247650699060279","0.9247650699060279","0.3267593305811273","0.3267593305811273","0.9247650699060279","0.3267593305811273"
"6","rcgdro_softclip_p95_a10_cam_finetune","4","0.6976744186046512","0.6976744186046512","1.8745542667781878","1.8745542667781878","0.6976744186046512","1.8745542667781878","0.9318416227366491","0.9318416227366491","0.4482770434495444","0.4482770434495444","0.9318416227366491","0.4482770434495444"
"2","rcgdro_softclip_p95_a10_cam_finetune","5","0.7308180685211748","0.7308180685211748","0.8260047179140376","0.8260047179140376","0.7308180685211748","0.8260047179140376","0.9399495759798304","0.9399495759798304","0.25782055513909025","0.25782055513909025","0.9399495759798304","0.25782055513909025"
"2","rcgdro_softclip_p95_a10_cam_finetune","6","0.6708679192042702","0.6708679192042702","1.8183514266287106","1.8183514266287106","0.6708679192042702","1.8183514266287106","0.9382019252807701","0.9382019252807701","0.2887528769329032","0.2887528769329032","0.9382019252807701","0.2887528769329032"
"2","rcgdro_softclip_p95_a10_cam_finetune","7","0.6084722646789099","0.6084722646789099","2.1461686789662657","2.1461686789662657","0.6084722646789099","2.1461686789662657","0.9339903735961494","0.9339903735961494","0.29003109290856605","0.29003109290856605","0.9339903735961494","0.29003109290856605"
"6","rcgdro_softclip_p95_a10_cam_finetune","8","0.7522750252780587","0.7522750252780587","1.7467064533714383","1.7467064533714383","0.7522750252780587","1.7467064533714383","0.9262262204904882","0.9262262204904882","0.5001743481154236","0.5001743481154236","0.9262262204904882","0.5001743481154236"
"9","rcgdro_softclip_p95_a10_cam_finetune","9","0.7433630399510899","0.7433630399510899","1.3034193173605637","1.3034193173605637","0.7433630399510899","1.3034193173605637","0.9385457254182902","0.9385457254182902","0.424559827888515","0.424559827888515","0.9385457254182902","0.424559827888515"
"4","rcgdro_softclip_p97_a10_cam_finetune","0","0.6967220824417429","0.6967220824417429","1.5536631875176934","1.5536631875176934","0.6967220824417429","1.5536631875176934","0.9335892734357094","0.9335892734357094","0.33999160426614045","0.33999160426614045","0.9335892734357094","0.33999160426614045"
"1","rcgdro_softclip_p97_a10_cam_finetune","1","0.6665647706163144","0.6665647706163144","1.1800624490717178","1.1800624490717178","0.6665647706163144","1.1800624490717178","0.9329303231721293","0.9329303231721293","0.23249458229121772","0.23249458229121772","0.9329303231721293","0.23249458229121772"
"4","rcgdro_softclip_p97_a10_cam_finetune","2","0.7639969901474357","0.7639969901474357","0.970121818370628","0.970121818370628","0.7639969901474357","0.970121818370628","0.9305810222324089","0.9305810222324089","0.3993410449624828","0.3993410449624828","0.9305810222324089","0.3993410449624828"
"1","rcgdro_softclip_p97_a10_cam_finetune","3","0.6295882615749994","0.6295882615749994","1.6379088477670256","1.6379088477670256","0.6295882615749994","1.6379088477670256","0.9281457712583085","0.9281457712583085","0.29065293972429534","0.29065293972429534","0.9281457712583085","0.29065293972429534"
"4","rcgdro_softclip_p97_a10_cam_finetune","4","0.6338796529263762","0.6338796529263762","1.7000487602874474","1.7000487602874474","0.6338796529263762","1.7000487602874474","0.9342768737107495","0.9342768737107495","0.33140480970073877","0.33140480970073877","0.9342768737107495","0.33140480970073877"
"2","rcgdro_softclip_p97_a10_cam_finetune","5","0.8120840877560138","0.8120840877560138","0.7357046987554549","0.7357046987554549","0.8120840877560138","0.7357046987554549","0.9320708228283291","0.9320708228283291","0.28856213113331125","0.28856213113331125","0.9320708228283291","0.28856213113331125"
"4","rcgdro_softclip_p97_a10_cam_finetune","6","0.668786888329767","0.668786888329767","1.5029533762225165","1.5029533762225165","0.668786888329767","1.5029533762225165","0.9366834746733899","0.9366834746733899","0.34349031092788185","0.34349031092788185","0.9366834746733899","0.34349031092788185"
"5","rcgdro_softclip_p97_a10_cam_finetune","7","0.5453829331953818","0.5453829331953818","4.116552708613468","4.116552708613468","0.5453829331953818","4.116552708613468","0.9307242722897089","0.9307242722897089","0.4830737316774338","0.4830737316774338","0.9307242722897089","0.4830737316774338"
"7","rcgdro_softclip_p97_a10_cam_finetune","8","0.7537329226138688","0.7537329226138688","1.438692785413005","1.438692785413005","0.7537329226138688","1.438692785413005","0.9389468255787302","0.9389468255787302","0.37128250609117736","0.37128250609117736","0.9389468255787302","0.37128250609117736"
"1","rcgdro_softclip_p97_a10_cam_finetune","9","0.5315211512686058","0.5315211512686058","1.8980823615597169","1.8980823615597169","0.5315211512686058","1.8980823615597169","0.931039422415769","0.931039422415769","0.26504217052863766","0.26504217052863766","0.931039422415769","0.26504217052863766"
"4","rcgdro_softclip_p99_a10_cam_finetune","0","0.708349989418487","0.708349989418487","1.7340582767639054","1.7340582767639054","0.708349989418487","1.7340582767639054","0.9348498739399496","0.9348498739399496","0.30497091782346847","0.30497091782346847","0.9348498739399496","0.30497091782346847"
"1","rcgdro_softclip_p99_a10_cam_finetune","1","0.6261316340207398","0.6261316340207398","1.3492698480850178","1.3492698480850178","0.6261316340207398","1.3492698480850178","0.9292917717167087","0.9292917717167087","0.24505334910290186","0.24505334910290186","0.9292917717167087","0.24505334910290186"
"5","rcgdro_softclip_p99_a10_cam_finetune","2","0.7675829473040656","0.7675829473040656","1.0535517987062846","1.0535517987062846","0.7675829473040656","1.0535517987062846","0.931641072656429","0.931641072656429","0.38409326564703383","0.38409326564703383","0.931641072656429","0.38409326564703383"
"10","rcgdro_softclip_p99_a10_cam_finetune","3","0.6981564653043949","0.6981564653043949","1.400972568264919","1.400972568264919","0.6981564653043949","1.400972568264919","0.9362823745129498","0.9362823745129498","0.44044972596388565","0.44044972596388565","0.9362823745129498","0.44044972596388565"
"6","rcgdro_softclip_p99_a10_cam_finetune","4","0.7525336844827991","0.7525336844827991","1.1677616133199298","1.1677616133199298","0.7525336844827991","1.1677616133199298","0.93797272518909","0.93797272518909","0.3282890757066095","0.3282890757066095","0.93797272518909","0.3282890757066095"
"4","rcgdro_softclip_p99_a10_cam_finetune","5","0.636536788393256","0.636536788393256","1.4894994247621325","1.4894994247621325","0.636536788393256","1.4894994247621325","0.9405512262204905","0.9405512262204905","0.26037618145730196","0.26037618145730196","0.9405512262204905","0.26037618145730196"
"2","rcgdro_softclip_p99_a10_cam_finetune","6","0.6073200554941567","0.6073200554941567","1.8934109754778417","1.8934109754778417","0.6073200554941567","1.8934109754778417","0.9382305752922301","0.9382305752922301","0.24717647031970022","0.24717647031970022","0.9382305752922301","0.24717647031970022"
"6","rcgdro_softclip_p99_a10_cam_finetune","7","0.6471888447339338","0.6471888447339338","2.231749496251678","2.231749496251678","0.6471888447339338","2.231749496251678","0.9267419206967683","0.9267419206967683","0.38569284443321594","0.38569284443321594","0.9267419206967683","0.38569284443321594"
"3","rcgdro_softclip_p99_a10_cam_finetune","8","0.7306417099724881","0.7306417099724881","1.1652268902877332","1.1652268902877332","0.7306417099724881","1.1652268902877332","0.9365975246390098","0.9365975246390098","0.2552106662945581","0.2552106662945581","0.9365975246390098","0.2552106662945581"
"1","rcgdro_softclip_p99_a10_cam_finetune","9","0.603969243069109","0.603969243069109","1.0413279782609146","1.0413279782609146","0.603969243069109","1.0413279782609146","0.931010772404309","0.931010772404309","0.22554000830309495","0.22554000830309495","0.931010772404309","0.22554000830309495"
