seed,selector,epoch,val_gce_proxy,val_ce_loss,val_acc,heldout_loss,heldout_acc,heldout_ece,heldout_brier,fixed_heldout_loss_tail
0,proxy_best,5,0.08613032847642899,0.31935814023017883,0.9355,1.7757749557495115,0.6880099701366191,0.2684923547096933,0.2804095298703264,9.072593688964844
0,val_loss_best,1,0.107057124376297,0.18291296064853668,0.931,1.153656005859375,0.6278246760881322,0.2838970853896274,0.2999212159789411,5.247729301452637
0,val_acc_best,5,0.08613032847642899,0.31935814023017883,0.9355,1.7757749557495115,0.6880099701366191,0.2684923547096933,0.2804095298703264,9.072593688964844
1,proxy_best,7,0.08941538631916046,0.33477723598480225,0.932,2.4969959259033203,0.6349025325087592,0.315176456907381,0.3270383121137253,11.963696479797363
1,val_loss_best,1,0.10209615528583527,0.18511801958084106,0.9275,0.8400254249572754,0.722105956216051,0.1894838088143537,0.2203477854339308,4.80478048324585
1,val_acc_best,5,0.09225985407829285,0.27503275871276855,0.932,1.448533296585083,0.7164507254214969,0.229711967402399,0.249930411778462,7.268206596374512
2,proxy_best,7,0.08876845985651016,0.33844271302223206,0.935,1.3946378231048584,0.700637242222588,0.2313737355887961,0.2530300948093641,7.698678493499756
2,val_loss_best,1,0.10825081169605255,0.22520506381988525,0.926,0.8661268949508667,0.7006489994591671,0.2040437631974604,0.2333379120597432,4.704318523406982
2,val_acc_best,7,0.08876845985651016,0.33844271302223206,0.935,1.3946378231048584,0.700637242222588,0.2313737355887961,0.2530300948093641,7.698678493499756
3,proxy_best,3,0.0990830808877945,0.26711273193359375,0.9295,1.2372766733169556,0.6874573800174008,0.251566849643171,0.266636062622586,6.007204532623291
3,val_loss_best,1,0.1064857617020607,0.18473777174949646,0.9295,1.3823764324188232,0.5819949679027442,0.3448806618681004,0.3508695780734973,5.409196853637695
3,val_acc_best,1,0.1064857617020607,0.18473777174949646,0.9295,1.3823764324188232,0.5819949679027442,0.3448806618681004,0.3508695780734973,5.409196853637695
4,proxy_best,8,0.08850811421871185,0.32952386140823364,0.934,0.799761950969696,0.7934723822512757,0.143498801471238,0.1707458307856605,4.998258590698242
4,val_loss_best,2,0.11140968650579453,0.22166579961776733,0.919,0.9138177037239076,0.6986737837138759,0.2135485427894601,0.2420670544196062,4.775080680847168
4,val_acc_best,8,0.08850811421871185,0.32952386140823364,0.934,0.799761950969696,0.7934723822512757,0.143498801471238,0.1707458307856605,4.998258590698242
5,proxy_best,8,0.08916444331407547,0.4062783122062683,0.9325,2.040485620498657,0.7031297763773603,0.2577745883841891,0.2690161888241704,11.272448539733888
5,val_loss_best,1,0.10156608372926712,0.2048661857843399,0.93,0.9140178561210632,0.7034237072918381,0.1985571727191328,0.2353915952832546,5.037802219390869
5,val_acc_best,2,0.09637922793626785,0.21907730400562286,0.9335,1.047635197639465,0.6917252568956193,0.2343499666084214,0.2564512604421564,5.208370208740234
6,proxy_best,9,0.08472181856632233,0.43944114446640015,0.9405,0.9469258785247804,0.7910033625696616,0.1563126899920975,0.1797376925726085,6.0908918380737305
6,val_loss_best,1,0.09893496334552765,0.18346326053142548,0.931,0.7950475811958313,0.6992498883062525,0.1998736211339297,0.2259518929751957,4.251539707183838
6,val_acc_best,9,0.08472181856632233,0.43944114446640015,0.9405,0.9469258785247804,0.7910033625696616,0.1563126899920975,0.1797376925726085,6.0908918380737305
7,proxy_best,9,0.09177306294441223,0.3386763632297516,0.9315,1.0659950971603394,0.7336633197733204,0.1788948238923318,0.2132806211916975,6.458944320678711
7,val_loss_best,1,0.10009276866912842,0.1892789602279663,0.9305,0.772620439529419,0.7369200743057351,0.1573429325119883,0.2075833942369144,4.433282375335693
7,val_acc_best,9,0.09177306294441223,0.3386763632297516,0.9315,1.0659950971603394,0.7336633197733204,0.1788948238923318,0.2132806211916975,6.458944320678711
8,proxy_best,7,0.08015327155590057,0.32436874508857727,0.9415,1.695227861404419,0.7503468384790839,0.2053767736956242,0.2233025605030546,10.783411979675291
8,val_loss_best,1,0.09906633198261261,0.17400768399238586,0.9365,0.6660783886909485,0.7543560561525618,0.1502657223330015,0.1874501564335176,3.9589436054229736
8,val_acc_best,7,0.08015327155590057,0.32436874508857727,0.9415,1.695227861404419,0.7503468384790839,0.2053767736956242,0.2233025605030546,10.783411979675291
9,proxy_best,8,0.08982490748167038,0.32802683115005493,0.9315,1.0735304355621338,0.7584123027723564,0.183165260364456,0.20426252797861,6.57738208770752
9,val_loss_best,1,0.10526979714632034,0.19113269448280334,0.936,0.5675584077835083,0.7823617936840125,0.1077763493033258,0.1641653953501644,3.438839197158813
9,val_acc_best,1,0.10526979714632034,0.19113269448280334,0.936,0.5675584077835083,0.7823617936840125,0.1077763493033258,0.1641653953501644,3.438839197158813
