family,regime,label,n,early_rw_mean,early_rw_ci,early_gap_mean,early_gap_ci,tail_delta_mean,tail_delta_ci,proxy_delta_mean,proxy_delta_ci,sign_accuracy
focal,erm_focal_g1_cam,Focal 1,10,2.3286195437407144,0.00781659469190051,0.0,0.0,-2.435063397884369,0.19359773617791975,-0.054806041818254124,0.004331695382143999,1.0
focal,erm_focal_g2_cam,Focal 2,10,3.968764468140588,0.032493920156094425,0.0,0.0,-3.3419205069541933,0.19490560969334922,-0.06552563544075095,0.00489193746020664,1.0
focal,erm_focal_g4_cam,Focal 4,10,7.2514147946395555,0.13131783678198414,0.0,0.0,-4.1134889155626295,0.18709492247617748,-0.06955018941979427,0.006367586403357376,1.0
labelsmooth,erm_labelsmooth_e02_cam,LS 0.02,10,1.0760206953322347,0.00041569160517508766,0.0,0.0,-1.0457141518592834,0.14990558336893303,-0.0249007448693145,0.004944124508405748,1.0
labelsmooth,erm_labelsmooth_e05_cam,LS 0.05,10,1.1616184417801083,0.0007908672960460229,0.0,0.0,-1.7675249516963958,0.21658386194341792,-0.029490207364001507,0.005644434048986297,1.0
labelsmooth,erm_labelsmooth_e10_cam,LS 0.10,10,1.2841082083786985,0.0013207929572012244,0.0,0.0,-2.4443444192409514,0.17583208499430003,-0.03294519127733487,0.006454698828967772,1.0
labelsmooth,erm_labelsmooth_e20_cam,LS 0.20,10,1.501324855420718,0.002300969848067162,0.0,0.0,-3.2708490669727324,0.1615416751123157,-0.039980935457937225,0.006646963703096897,1.0
other,rcgdro,ERM baseline,10,0.9999999978010041,2.0583607864137683e-09,0.0,0.0,1.0547118733938987e-16,0.35501949150883616,,,0.5
softclip,rcgdro_softclip_p95_a10_cam,SoftClip P95,10,0.3809302492292904,0.016285885170714717,0.5774333848666415,0.016930440235490774,3.810296261310578,0.9389302184596859,,,1.0
softclip,rcgdro_softclip_p97_a10_cam,SoftClip P97,10,0.38238557974423304,0.007729523959028164,0.5240374936865289,0.008581279976410288,4.4331826984882365,1.2623551267502824,,,1.0
softclip,rcgdro_softclip_p99_a10_cam,SoftClip P99,10,0.7153416693868214,0.041094484625120234,0.2148383110406908,0.029101750229813553,0.6369331061840059,0.7194167265869603,,,0.7
