suite,suite_label,seed,baseline_regime,softclip_regime,baseline_tag,softclip_tag,baseline_epoch,softclip_epoch,clip_loss,clip_alpha,baseline_val_loss,softclip_val_loss,baseline_proxy_ce,softclip_proxy_ce,baseline_proxy_clip,softclip_proxy_clip,delta_clip_proxy_soft_minus_base,delta_val_loss_soft_minus_base,test_hosp_2_loss_baseline,test_hosp_2_loss_softclip,delta_test_hosp_2_loss_soft_minus_base,test_hosp_2_acc_baseline,test_hosp_2_acc_softclip,delta_test_hosp_2_acc_soft_minus_base,val_ece_baseline,val_ece_softclip,delta_val_ece_soft_minus_base,val_brier_baseline,val_brier_softclip,delta_val_brier_soft_minus_base,oracle_wg_acc_baseline,oracle_wg_acc_softclip,delta_oracle_wg_acc_soft_minus_base,worst_cell_cvar_baseline,worst_cell_cvar_softclip,delta_worst_cell_cvar_soft_minus_base,worst_cell_mean_loss_baseline,worst_cell_mean_loss_softclip,delta_worst_cell_mean_loss_soft_minus_base
camelyon_finetune,Camelyon17 Finetune,0,rcgdro_finetune,rcgdro_softclip_p95_a10_cam_finetune,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,6,0.6429402083,0.1,0.2213879755437374,0.4277281222045421,0.7146378137732065,1.956614778887841,0.3610277453216198,0.3478777950375474,-0.0131499502840723,0.2063401466608047,0.6256385337825062,1.9883134220165288,1.3626748882340225,0.7078796999553225,0.6519975544947916,-0.0558821454605309,0.0271267317391239,0.0530139167882922,0.0258871850491682,0.0611892558143091,0.0579083679857479,-0.0032808878285611,0.8860103626943006,0.927461139896373,0.0414507772020724,6.48495626449585,16.84765648841858,10.36270022392273,2.9301900267601013,6.133422762155533,3.2032327353954315
camelyon_finetune,Camelyon17 Finetune,1,rcgdro_finetune,rcgdro_softclip_p95_a10_cam_finetune,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,1,0.6429402083,0.1,0.2201932666003704,0.2459855132400989,0.8955925895321754,1.1329192518226563,0.3570866114425389,0.32603165952248,-0.0310549519200588,0.0257922466397285,0.9874013427407912,0.8333768115760001,-0.1540245311647911,0.6173372210595621,0.7530510028922802,0.1357137818327181,0.0226458973503317,0.0475234775809687,0.024877580230637,0.0547577290822977,0.0587650583451142,0.0040073292628165,0.8963730569948186,0.8963730569948186,0.0,7.8955078125,7.208674788475037,-0.6868330240249634,2.945606708526612,2.8687161672860384,-0.0768905412405733
camelyon_finetune,Camelyon17 Finetune,2,rcgdro_finetune,rcgdro_softclip_p95_a10_cam_finetune,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,4,0.6429402083,0.1,0.2812030148208141,0.410527505338192,1.064881037896679,1.7763805616286494,0.3622736052571585,0.3485281642202931,-0.0137454410368653,0.1293244905173778,0.801030938149635,1.468746186826824,0.6677152486771889,0.743680485338726,0.746866696451666,0.00318621111294,0.0407448847851559,0.054794969334391,0.0140500845492351,0.0633913750372242,0.0587057567205072,-0.0046856183167169,0.922279792746114,0.932367149758454,0.0100873570123399,7.946494102478027,17.09472894668579,9.148234844207764,3.341468572616577,5.068843025714159,1.727374453097582
camelyon_finetune,Camelyon17 Finetune,3,rcgdro_finetune,rcgdro_softclip_p95_a10_cam_finetune,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,1,0.6429402083,0.1,0.228891912907362,0.3073917559981346,0.9690107050762382,1.6140821493761512,0.3043839441806519,0.3573884839293385,0.0530045397486866,0.0784998430907726,0.8394595659370132,1.1978522427089664,0.3583926767719532,0.7069156065558351,0.7274319843863898,0.0205163778305547,0.030156232508902,0.0497345518694507,0.0195783193605487,0.0521163729318107,0.0629865442304155,0.0108701712986047,0.9253886010362694,0.9178743961352656,-0.0075142049010038,7.860057592391968,9.70313286781311,1.8430752754211424,2.527388296781048,4.229242593050003,1.7018542962689551
camelyon_finetune,Camelyon17 Finetune,4,rcgdro_finetune,rcgdro_softclip_p95_a10_cam_finetune,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,6,0.6429402083,0.1,0.2333749066591262,0.4583262833356857,0.974046294919906,1.8913421082881188,0.3476270135757749,0.3465302726992873,-0.0010967408764875,0.2249513766765594,1.2653606501921957,1.874554266778188,0.6091936165859924,0.5866273191149153,0.6976744186046512,0.1110470994897359,0.0343254888624898,0.0581778778580426,0.0238523889955527,0.0581586575638706,0.0612368542771415,0.0030781967132708,0.8849740932642487,0.9098445595854924,0.0248704663212436,6.5732421875,17.50390625,10.9306640625,2.758443832397461,6.292758917436004,3.5343150850385427
camelyon_finetune,Camelyon17 Finetune,5,rcgdro_finetune,rcgdro_softclip_p95_a10_cam_finetune,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,2,0.6429402083,0.1,0.2242073740065097,0.2716900599896907,0.9125644291600874,1.2585960520211086,0.3880331803958005,0.3073788991180547,-0.0806542812777457,0.0474826859831809,0.7655174873623531,0.8260047179140376,0.0604872305516844,0.7156865050438544,0.7308180685211748,0.0151315634773203,0.0274248661931282,0.0433718563965474,0.0159469902034192,0.0581803461473898,0.0538912498500501,-0.0042890962973397,0.8984455958549222,0.9253886010362694,0.0269430051813471,7.385887026786804,11.50390625,4.118019223213196,2.8585738092660904,4.193254936486483,1.3346811272203922
camelyon_finetune,Camelyon17 Finetune,6,rcgdro_finetune,rcgdro_softclip_p95_a10_cam_finetune,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,2,0.6429402083,0.1,0.2553338907361031,0.2944426543116569,0.989710267128483,1.3411773374324203,0.3449193030715013,0.3242526992931416,-0.0206666037783597,0.0391087635755538,1.111436778164932,1.8183514266287104,0.7069146484637785,0.676288005267242,0.6708679192042702,-0.0054200860629717,0.0410850821495477,0.0526780586035047,0.0115929764539569,0.0636148853182312,0.055893881321815,-0.0077210039964162,0.8898550724637682,0.922279792746114,0.0324247202823458,6.970156908035278,9.693854689598083,2.723697781562805,2.289950332814647,3.147614296525717,0.8576639637110697
camelyon_finetune,Camelyon17 Finetune,7,rcgdro_finetune,rcgdro_softclip_p95_a10_cam_finetune,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,2,0.6429402083,0.1,0.2355266645550728,0.2966645474433899,0.928030132897788,1.351929987930963,0.3681563811867026,0.3156098326111607,-0.0525465485755418,0.061137882888317,0.6740545856542355,2.1461686789662657,1.4721140933120302,0.7247278199731935,0.6084722646789099,-0.1162555552942835,0.0255067852003758,0.0467376163950118,0.0212308311946359,0.0616364490345571,0.0571252126983397,-0.0045112363362174,0.9198067632850242,0.9284974093264248,0.0086906460414005,6.881846189498901,11.217803359031675,4.335957169532776,2.659506797790528,3.428269743919373,0.7687629461288457
camelyon_finetune,Camelyon17 Finetune,8,rcgdro_finetune,rcgdro_softclip_p95_a10_cam_finetune,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,4,6,0.6429402083,0.1,0.2644924526810646,0.5091049600243568,0.9371123536179464,1.8184020847402595,0.28041767535662,0.3371221581160129,0.0567044827593929,0.2446125073432922,1.1987387784270551,1.7467064533714385,0.5479676749443834,0.7185317562960002,0.7522750252780587,0.0337432689820584,0.0364044180765783,0.0667022525482339,0.0302978344716556,0.0575617900623305,0.0719455939701236,0.014383803907793,0.9264248704663212,0.8898550724637682,-0.036569798002553,9.103584051132202,14.103515625,4.999931573867798,3.7881225645542154,4.962060160934925,1.1739375963807106
camelyon_finetune,Camelyon17 Finetune,9,rcgdro_finetune,rcgdro_softclip_p95_a10_cam_finetune,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,9,0.6429402083,0.1,0.1903137191534042,0.3620132265388965,0.7680696126273883,1.75498841228264,0.3299955153118659,0.2923948247137112,-0.0376006905981547,0.1716995073854923,0.7496127083269395,1.3034193173605635,0.553806609033624,0.6340560114750629,0.7433630399510899,0.109307028476027,0.0224537605377022,0.0490509028678844,0.0265971423301821,0.052761116299588,0.0510356330097099,-0.001725483289878,0.917098445595855,0.936231884057971,0.019133438462116,5.423009395599365,19.91114830970764,14.488138914108276,1.962456703186036,4.231851618136129,2.269394914950093
