dataset,label,seed,early_rw,late_rw,delta_rw,early_gap,late_gap,delta_gap
camelyon17,Camelyon17 ERM P95,0,0.2817192206901555,0.18637750523407848,-0.095341715456077,0.7020323608664775,0.8019685210966082,0.09993616023013074
camelyon17,Camelyon17 ERM P95,1,0.27166055946709644,0.1855726473383942,-0.08608791212870223,0.7093911121708343,0.8051998218981521,0.09580870972731781
camelyon17,Camelyon17 ERM P95,2,0.27962820525332754,0.19146554573554622,-0.08816265951778132,0.7086347775478862,0.7958802410357255,0.08724546348783935
camelyon17,Camelyon17 ERM P95,3,0.27521584518222375,0.18477358240293543,-0.09044226277928832,0.7120334120434111,0.8073893465354319,0.09535593449202084
camelyon17,Camelyon17 ERM P95,4,0.2791990620330317,0.18941820046672894,-0.08978086156630274,0.705640717979484,0.7988308006806157,0.09319008270113172
camelyon17,Camelyon17 ERM P95,5,0.2716816314965991,0.18873497312564855,-0.08294665837095053,0.7131712469778663,0.7963481429634816,0.08317689598561528
camelyon17,Camelyon17 ERM P95,6,0.2765166347104644,0.18363430505736278,-0.09288232965310161,0.7046300498155313,0.8032910384175257,0.09866098860199435
camelyon17,Camelyon17 ERM P95,7,0.28455072249754926,0.18796560898591155,-0.0965851135116377,0.6967626314291647,0.7976830522075998,0.1009204207784351
camelyon17,Camelyon17 ERM P95,8,0.2794348395418282,0.18349829449264807,-0.09593654504918012,0.7021297870212979,0.8022368703300611,0.10010708330876317
camelyon17,Camelyon17 ERM P95,9,0.27538877788592,0.18671684161918944,-0.08867193626673053,0.7051915321288383,0.8013946468601003,0.09620311473126197
celeba,CelebA ERM P95,0,0.2130409135783145,0.2670228897186823,0.053981976140367816,0.9214811852148118,0.8639593305626702,-0.05752185465214166
celeba,CelebA ERM P95,1,0.19649131385634028,0.30573119703712937,0.10923988318078909,0.9338850730311584,0.8276292028916767,-0.10625587013948168
celeba,CelebA ERM P95,2,0.21054476545948692,0.2925626711109655,0.0820179056514786,0.9144972682218958,0.8456009099944707,-0.06889635822742513
celeba,CelebA ERM P95,3,0.1689953321604142,0.2974036283396579,0.12840829617924368,0.9166673076282116,0.8249029797874913,-0.0917643278407203
celeba,CelebA ERM P95,4,0.19307182853995636,0.31563723442618463,0.12256540588622827,0.9147880083786495,0.8220212166817507,-0.09276679169689883
celeba,CelebA ERM P95,5,0.22186341255539518,0.30380278965334473,0.08193937709794955,0.9048182361251055,0.8362001406696938,-0.06861809545541164
celeba,CelebA ERM P95,6,0.20267476926284728,0.3017561752663295,0.0990814060034822,0.9360633167452486,0.8209546566710849,-0.11510866007416365
celeba,CelebA ERM P95,7,0.18011745746808072,0.30227403368214106,0.12215657621406034,0.9078338320014152,0.8123644900467218,-0.09546934195469337
celeba,CelebA ERM P95,8,0.20067723185768385,0.31850068241874463,0.11782345056106078,0.9200659421237365,0.827254881349472,-0.09281106077426449
celeba,CelebA ERM P95,9,0.16979593807756901,0.2763779172916521,0.1065819792140831,0.9139275816008142,0.8357322387419378,-0.07819534285887642
