regime,delta_proxy,delta_tail,delta_acc,family,R_w,label
erm_softclip_p95_a10_cam,-0.22406125082039963,5.501472663879395,0.0009852564253296503,SoftClip,0.2003701458870692,SoftClip P95
erm_softclip_p97_a10_cam,-0.09803987121591506,5.155058956146241,-0.0008618054412491416,SoftClip,0.2648392430709828,SoftClip P97
erm_softclip_p99_a10_cam,0.06279599229708221,1.764522671699524,-0.0008571025466175275,SoftClip,0.605171844264483,SoftClip P99
erm_focal_g1_cam,-0.0548060423774118,-2.4350633621215816,-0.0015813483198907,Focal,2.417350728218025,Focal 1
erm_focal_g2_cam,-0.0655256359999088,-3.341920471191406,-0.0018117901568415,Focal,4.100012276663106,Focal 2
erm_focal_g4_cam,-0.0695501899789519,-4.113488879799842,-0.0035471582759187,Focal,7.4850667715274515,Focal 4
erm_labelsmooth_e02_cam,-0.0249007454284723,-1.0457141160964962,-0.0004608836739012,LabelSmooth,1.0783407050874203,LS 0.02
erm_labelsmooth_e05_cam,-0.0294902079231592,-1.7675249159336088,-0.0015519552284433,LabelSmooth,1.1641273735003297,LS 0.05
erm_labelsmooth_e10_cam,-0.0329451918364925,-2.4443443834781644,-0.0021621558068991,LabelSmooth,1.2857869217085725,LS 0.10
erm_labelsmooth_e20_cam,-0.0399809360170948,-3.2708490312099454,-0.0018564676558421,LabelSmooth,1.499094452061146,LS 0.20
erm_gce_q07_cam,-0.0242946298209845,5.843346834182739,0.0039116326098713,GCE,0.3391947627682027,GCE q=0.7
